,,,,,,,,,Season
B,1,E-Bowla,55,5,18,19,634.3 (2),893.8 (3),XXVIII
B,2,Stinky Cheese,54,3,17,20,667.9 (1),907.7 (2),XXVIII
B,3,Alley Oops,51,2,16.5,18,531.2 (10),886.0 (6),XXVIII
B,4,The Ghoulers,42,5,14,14,451.1 (19),881.0 (9),XXVIII
B,5,Wild Llamas,41,5,13.5,14,581.3 (4),882.7 (8),XXVIII
B,6,Gutterglory,39,9,14,11,513.0 (12),866.2 (16),XXVIII
B,7,The Boom Kings,37,4,13,11,571.0 (5),871.7 (13),XXVIII
B,8,Sparadigm Shift,35,7,11.5,12,540.7 (8),875.6 (11),XXVIII
B,9,Bowl'd Peanuts,32,3,12,8,536.6 (9),863.4 (17),XXVIII
B,10,Smoke-A-Bowl,20,7,5.5,9,417.8 (20),850.2 (20),XXVIII
,,,,,,,,,
A,1,Wolf Splitzers,39,6,13,13,659.7 (2),918.9 (2),XXVII
A,2,Stinky Cheese,29,8,8,13,680.2 (1),908.2 (4),XXVII
A,3,Sparely Legal,22,1,6,10,507.7 (14),903.7 (5),XXVII
A,4,Smoke-a-Bowl,20,0,7,6,424.1 (17),880.7 (11),XXVII
A,5,Gutter Mouths,16,2,6,4,469.6 (15),859.0 (18),XXVII
A,6,Pindemix,15,9,5,5,528.2 (12),874.7 (14),XXVII
B,1,Vandal-Lane Industries,28,7,9.5,9,553.7 (10),891.3 (8),XXVII
B,1,Wild Llamas,28,7,8,12,627.7 (3),921.5 (1),XXVII
B,4,Gutterglory,25,3,9,7,553.3 (11),878.3 (12),XXVII
B,3,Sparadigm Shift,26,4,8,10,447.4 (16),894.0 (7),XXVII
B,5,The Boom Kings,20,6,6,8,587.3 (6),873.1 (16),XXVII
B,6,E-Bowla,16,3,4.5,7,594.2 (5),874.6 (15),XXVII
C,1,Alley-Oops,34,3,12,10,572.5 (8),900.9 (6),XXVII
C,2,Lucky Strikes,28,7,8,12,595.1 (4),910.7 (3),XXVII
C,3,Hot Shotz,22,5,8,6,561.3 (9),888.1 (9),XXVII
C,4,The Guttersnipes,20,2,8,4,412.5 (18),868.5 (17),XXVII
C,5,Bowl'd Peanuts,17,7,6,5,576.7 (7),878.1 (13),XXVII
C,6,Pin-Ups,15,4,3,9,521.2 (13),884.1 (10),XXVII
,,,,,,,,,
A,1,Stinky Cheese,53,2,17,19,662.9 (1),896.4 (3),XXVI
A,2,The Boom Kings,48,1,15,18,611.4 (2),898.8 (1),XXVI
A,3,Gutter Mouths,45,2,16.5,12,462.7 (14),882.0 (12),XXVI
A,4,E-Bowla,44,4,14,16,603.2 (4),882.4 (11),XXVI
A,5,Valley of the Balls,43,3,15,13,469.3 (12),883.8 (9),XXVI
A,6,Vandal-Lane Industries,40,6,12.5,15,557.1 (8),883.5 (10),XXVI
A,7,The Guttersnipes,31,5,11,9,426.5 (17),783.6 (18),XXVI
A,8,Lucky Strikes,26,5,8.5,9,525.7 (9),859.8 (17),XXVI
A,9,Pin-Ups,19,4,5.5,8,465.3 (13),863.7 (14),XXVI
B,1,Sparadigm Shift,54,6,18,18,427.3 (16),893.9 (4),XXVI
B,2,Wolf Splitzers,50,9,17,16,611.4 (3),886.8 (8),XXVI
B,3,Gutterglory,49,7,16,17,568.8 (7),896.5 (2),XXVI
B,4,Sparely Legal,46,5,14.5,17,501.0 (10),893.5 (5),XXVI
B,4,Wild Llamas,46,9,16,14,579.5 (5),890.2 (7),XXVI
B,6,Pindemics,40,3,13.5,13,419.2 (18),874.6 (13),XXVI
B,7,Hot Shotz,39,6,13,13,579.5 (6),891.1 (6),XXVI
B,8,Fancy Pants,29,4,9,11,445.4 (15),863.7 (15),XXVI
B,9,Village COVIDiots,27,0,10,7,498.5 (11),861.3 (16),XXVI
,,,,,,,,,
A,1,Sparadigm Shift,40,9,13,14,631.2 (3),914.4 (1),XXV
A,2,The Boom Kings,37,7,11,15,613.2 (5),913.4 (2),XXV
